,Dzień Znalezienia,Numer Pociągu,Relacja Pociągu,Stacja Znalezienia,Rodzaj Rzeczy
3198,2024-11-22,5312,Gdynia Gł. - Przemyśl Gł.,Przemyśl Główny,Saszetka / Nerka
3199,2024-11-22,5404,Gdynia Gł. - Gliwice,Gliwice,Rzeczy Osobiste
3200,2024-11-22,5422,Olsztyn Gł. - Racibórz,Racibórz,Rzeczy Osobiste
3201,2024-11-22,87172,Świnoujście - Przemyśl,Poznań Główny,Dokument/Y
3202,2024-11-22,19130,Warszawa Wsch. - Łódź Fabryczna,Łódź Fabryczna,Reklamówka / Torba
3203,2024-11-22,4123,Bielsko B.G.-Białystok,Białystok,Sprzęt Elektroniczny
3204,2024-11-22,6124,Wrocław Gł.-Białystok,Białystok,Etui
3205,2024-11-22,81103,Świnoujście-Suwałki,Białystok,Sprzęt Elektroniczny
3206,2024-11-22,31108,Kraków Gł. - Łódź Fabryczna,Łódź Fabryczna,Saszetka / Nerka
3207,2024-11-22,4120,Bielsko-Biała Gł. - Warszawa Wsch.,Warszawa Zachodnia,Telefon
3208,2024-11-22,3504,Kraków Gł. - Gdynia Gł.,Kraków Główny,Rzeczy Osobiste
3209,2024-11-22,82100,Szczecin Gł. - Lublin Gł.,Lublin Główny,Walizka / Plecak
3210,2024-11-22,72102,Poznań Gł. - Lublin Gł.,Lublin Główny,Rzeczy Osobiste
3211,2024-11-22,75100,Zielona Góra Gł. - Olsztyn Gł.,Olsztyn Główny,Rzeczy Osobiste
3212,2024-11-22,3520,,Olsztyn Główny,Rzeczy Osobiste
3213,2024-11-22,1530,Warszawa Zach. - Bydgoszcz Gł.,Działdowo,Walizka / Plecak
3214,2024-11-22,3532,Rzeszów Główny - Bydgoszcz Gł.,Bydgoszcz Główna,Walizka / Plecak
3215,2024-11-22,,,Bydgoszcz Główna,Rzeczy Osobiste
3216,2024-11-22,3102,Kraków Gł. - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Elektroniczny
3217,2024-11-22,83170,Kołobrzeg-Kraków Główny,Kraków Główny,Ubranie
3218,2024-11-22,5620,Ełk - Wrocław Gł.,Wrocław Główny,Rzeczy Osobiste
3219,2024-11-22,85108,,Olsztyn Główny,Walizka / Plecak
3220,2024-11-22,3526,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
3221,2024-11-22,1624,Białystok - Wrocław Gł.,Wrocław Główny,Książka
3222,2024-11-22,26100,Lublin Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3223,2024-11-22,1624,Białystok - Wrocław Gł.,Skierniewice,Ubranie
3224,2024-11-22,5604,Gdynia Gł. - Wrocław Gł.,Oborniki Śląskie,Reklamówka / Torba
3225,2024-11-22,1624,Białystok - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3226,2024-11-22,5620,Ełk - Wrocław Gł.,Wrocław Główny,Ubranie
3227,2024-11-22,5602,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Rzeczy Osobiste
3228,2024-11-22,6304,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Ubranie
3229,2024-11-22,5312,Gdynia Główna -Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3230,2024-11-22,4508,Gliwice - Gdynia Gł.,Gdynia Główna,Ubranie
3231,2024-11-22,1304,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Książka
3232,2024-11-22,3506,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
3233,2024-11-21,5302,Gdynia-Kraków,Kraków Główny,Książka
3234,2024-11-21,3722,Kraków Gł. - Poznań Gł.,Poznań Główny,Ubranie
3235,2024-11-21,5426,Gdynia Gł. - Katowice,Katowice Zawodzie,Rzeczy Osobiste
3236,2024-11-21,5404,Gdynia Gł. - Gliwice,Gliwice,Sprzęt Elektroniczny
3237,2024-11-21,5320,Olsztyn Główny - Kraków Główny,Kraków Główny,Reklamówka / Torba
3238,2024-11-21,81114,Kołobrzeg - Łódź Fabryczna,Łódź Fabryczna,Reklamówka / Torba
3239,2024-11-21,3500,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Saszetka / Nerka
3240,2024-11-21,5310,Gdynia Główna - Kraków Główny,Kraków Główny,Sprzęt Turystyczny
3241,2024-11-21,86104,Szczecin Gł. - Wrocław Gł.,Wrocław Główny,Artykuły Biurowe
3242,2024-11-21,5422,Olsztyn Gł. - Racibórz,Racibórz,Telefon
3243,2024-11-21,3514,Przemyśl Gł. - Gdynia Gł.,Gdynia Główna,Sprzęt Turystyczny
3244,2024-11-21,54150,Bydgoszcz Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Walizka / Plecak
3245,2024-11-21,4524,Bielsko-Biała Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
3246,2024-11-21,4522,Racibórz - Olsztyn Gł.,Olsztyn Główny,Ubranie
3247,2024-11-21,5324,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Walizka / Plecak
3248,2024-11-21,5300,Gdynia - Kraków,Kraków Główny,Rzeczy Osobiste
3249,2024-11-21,28100,Lublin Gł. - Szczecin Gł.,Piła Główna,Sprzęt Elektroniczny
3250,2024-11-21,4524,Bielsko-Biała Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
3251,2024-11-21,4500,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Etui
3252,2024-11-21,4522,Racibórz- Olsztyn Główny,Olsztyn Główny,Ubranie
3253,2024-11-21,3722,Kraków Gł. - Poznań Gł.,Poznań Główny,Walizka / Plecak
3254,2024-11-21,5324,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Reklamówka / Torba
3255,2024-11-21,54150,Bydgoszcz Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Ubranie
3256,2024-11-21,5404,Gdynia Gł. - Gliwice,Gliwice,Ubranie
3257,2024-11-21,73102,Poznań Gł. - Kraków Gł.,Kraków Główny,Sprzęt Elektroniczny
3258,2024-11-21,5324,Olsztyn Główny - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3259,2024-11-20,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Reklamówka / Torba
3260,2024-11-20,1600,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Pieniądze
3261,2024-11-20,3820,Kraków Gł. - Szczecin Gł.,Katowice,Etui
3262,2024-11-20,6500,Jelenia Góra - Gdynia Gł.,Inowrocław,Sprzęt Elektroniczny
3263,2024-11-20,18104,Białystok - Szczecin Gł.,Lębork,Ubranie
3264,2024-11-20,85102,Szczecin Gł. - Olsztyn Gł.,Słupsk,Saszetka / Nerka
3265,2024-11-20,4508,Gliwice - Gdynia Gł.,Gdynia Główna,Parasol
3266,2024-11-20,3508,Rzeszów Główny - Gdynia Gł.,Warszawa Wschodnia,Parasol
3267,2024-11-20,73002,Berlin Hbf - Kraków Główny,Kraków Główny,Ubranie
3268,2024-11-20,5306,Gdynia - Kraków,Kraków Główny,Ubranie
3269,2024-11-20,5324,Olsztyn Główny-Kraków Główny,Kraków Główny,Etui
3270,2024-11-20,1322,Warszawa Wschodnia -Kraków Główny,Kraków Główny,Saszetka / Nerka
3271,2024-11-20,81170,Świnoujście - Warszawa Wsch.,Warszawa Wschodnia,Parasol
3272,2024-11-20,4504,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
3273,2024-11-20,73000,Berlin-Przemyśl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3274,2024-11-20,5315,Gdynia-Przemyśl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3275,2024-11-20,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Walizka / Plecak
3276,2024-11-20,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Książka
3277,2024-11-20,3524,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
3278,2024-11-20,60105,Wrocław Gł. - Jelenia Góra,Jelenia Góra,Walizka / Plecak
3279,2024-11-20,6502,Wrocław Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
3280,2024-11-20,1220,Warszawa Wsch. - Kielce Główne,Kielce Główne,Reklamówka / Torba
3281,2024-11-20,71100,Zielona Góra - Warszawa Wschodnia,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
3282,2024-11-20,5427,Gdynia Gł. - Katowice,Katowice,Ubranie
3283,2024-11-20,5302,Gdynia Gł. - Kraków Gł.,Kraków Główny,Walizka / Plecak
3284,2024-11-20,83173,Swinoujście-Przemyśl Gł.,Przemyśl Główny,Rzeczy Osobiste
3285,2024-11-20,61104,Wrocław -Białystok,Białystok,Reklamówka / Torba
3286,2024-11-20,1804,Warszawa Wsch. - Szczecin Gł.,Szczecin Główny,Artykuły Biurowe
3287,2024-11-20,63100,Wrocław-Kraków,Kraków Główny,Sprzęt Elektroniczny
3288,2024-11-20,82104,Świnoujście - Hrubieszów Miasto,Trawniki,Parasol
3289,2024-11-20,1200,Łódź Fabryczna - Lublin Gł.,Lublin Główny,Parasol
3290,2024-11-19,81100,Szczecin Gł. - Warszawa Wsch.,Warszawa Wschodnia,Reklamówka / Torba
3291,2024-11-19,62102,Wrocław Gł. - Lublin Gł.,Skarżysko-Kamienna,Parasol
3292,2024-11-19,17100,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Rzeczy Osobiste
3293,2024-11-19,6126,Zgorzelec - Warszawa Wsch.,Węgliniec,Ubranie
3294,2024-11-19,5400,Gdynia Gł. - Gliwice,Gliwice,Ubranie
3295,2024-11-19,82102,Szczecin Gł. - Lublin Gł.,Brzeg,Ubranie
3296,2024-11-19,5400,Gdynia Gł. - Gliwice,Gliwice,Książka
3297,2024-11-19,35102,Chabówka - Gdynia Gł.,Chabówka,Telefon
3298,2024-11-19,16104,Białystok - Wrocław Gł.,Wrocław Główny,Dokument/Y
3299,2024-11-19,5306,Gdynia-Kraków,Kraków Główny,Ubranie
3300,2024-11-19,5312,Gdynia Główna -Kraków Główny,Kraków Główny,Książka
3301,2024-11-19,16106,Białystok - Wrocław Gł.,Wrocław Główny,Parasol
3302,2024-11-19,5402,Gdynia Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Sprzęt Elektroniczny
3303,2024-11-19,16102,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3304,2024-11-19,1600,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Ubranie
3305,2024-11-19,3550,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
3306,2024-11-19,3101,Krakow-Warszawa,Warszawa Olszynka Grochowska,Telefon
3307,2024-11-19,477,Warszawa Wsch. - Budapeszt,Warszawa Olszynka Grochowska,Rzeczy Osobiste
3308,2024-11-19,5604,Gdynia Gł. - Wrocław Gł.,Żmigród,Sprzęt Elektroniczny
3309,2024-11-19,1604,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Sprzęt Turystyczny
3310,2024-11-19,144,Kraków Gł. - Vilnius(Lt),Suwałki,Rzeczy Osobiste
3311,2024-11-19,26100,Lublin Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3312,2024-11-19,5350,Gdynia-Kraków,Kraków Główny,Sprzęt Sportowy
3313,2024-11-19,6301,Wrocław-Przemysl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3314,2024-11-19,5104,Gdynia Gł. - Warszawa Zach.,Warszawa Zachodnia,Ubranie
3315,2024-11-19,81114,Kołobrzeg-Łódz Fabryczna,Łódź Kaliska,Telefon
3316,2024-11-19,83173,Świnoujście-Przemyśl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3317,2024-11-19,5400,Gdynia Gł. - Gliwice,Gliwice,Rzeczy Osobiste
3318,2024-11-19,,,Wrocław Główny,Sprzęt Elektroniczny
3319,2024-11-19,1302,Warszawa-Kraków,Kraków Główny,Rzeczy Osobiste
3320,2024-11-19,16106,Białystok - Wrocław Gł.,Wrocław Główny,Ubranie
3321,2024-11-19,16102,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Parasol
3322,2024-11-19,6124,Wrocław-Białystok,Białystok,Ubranie
3323,2024-11-19,8304,Szczecin Gł. - Przemyśl Gł.,Łańcut,Reklamówka / Torba
3324,2024-11-19,1104,Terespol-Łódz,Łódź Kaliska,Rzeczy Osobiste
3325,2024-11-18,9102,Łódź Fabryczna - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Elektroniczny
3326,2024-11-18,85106,Szczecin Gł. - Olsztyn Gł.,Pasłęk,Walizka / Plecak
3327,2024-11-18,6124,Wrocław Gł.-Białystok,Białystok,Etui
3328,2024-11-18,72101,Zielona Góra-Lublin,Lublin,Sprzęt Elektroniczny
3329,2024-11-18,73003,Berlin-Kraków,Kraków Główny,Ubranie
3330,2024-11-18,9102,Łódź Fabryczna - Warszawa Wsch.,Warszawa Wschodnia,Reklamówka / Torba
3331,2024-11-18,37102,Kraków Gł. - Poznań Gł.,Częstochowa Stradom,Walizka / Plecak
3332,2024-11-18,57108,Gdynia Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
3333,2024-11-18,3508,Rzeszów Główny - Gdynia Gł.,Warszawa Wschodnia,Walizka / Plecak
3334,2024-11-18,85108,Szczecin Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
3335,2024-11-18,83102,Świnoujście - Kraków Gł.,Oława,Dokument/Y
3336,2024-11-18,4508,Gliwice - Gdynia Gł.,Gdynia Główna,Obuwie
3337,2024-11-18,54102,Gdynia Gł. - Katowice,Grudziądz,Telefon
3338,2024-11-18,83171,Kołobrzeg-Kraków Główny,Kraków Główny,Ubranie
3339,2024-11-18,5312,Gdynia Gł. - Kraków Gł.,Kraków Główny,Ubranie
3340,2024-11-18,81170,Świnoujście - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
3341,2024-11-18,73102,Poznań Główny- Kraków Główny,Kraków Główny,Książka
3342,2024-11-18,35170,Chabówka - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
3343,2024-11-18,3122,Kraków Gł. - Warszawa Wsch.,Jędrzejów,Reklamówka / Torba
3344,2024-11-18,73000,Berlin Przemysl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3345,2024-11-18,5101ED-250,Gdynia-Warszawa,Warszawa Olszynka Grochowska,Rzeczy Osobiste
3346,2024-11-18,73100,Poznań Główny- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3347,2024-11-18,,,Bydgoszcz Główna,Rzeczy Osobiste
3348,2024-11-18,5322,Olsztyn Główny -Kraków Główny,Kraków Główny,Ubranie
3349,2024-11-18,8105,Szczecin Gł. - Warszawa Wsch.,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
3350,2024-11-18,21160,Lublin Gł. - Warszawa Zach.,Warszawa Zachodnia,Reklamówka / Torba
3351,2024-11-18,,,Bydgoszcz Główna,Książka
3352,2024-11-18,3513,Przemyśl Gł. - Gdynia Gł.,Gdynia Główna,Artykuły Medyczne
3353,2024-11-18,83171,Kołobrzeg -Kraków Główny,Kraków Główny,Ubranie
3354,2024-11-18,5360,Gdynia Gł. - Chabówka,Włoszczowa Północ,Reklamówka / Torba
3355,2024-11-18,56124,Olsztyn Gł. - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
3356,2024-11-18,3113,Kraków Gł. - Warszawa Wsch.,Warszawa Olszynka Grochowska,Rzeczy Osobiste
3357,2024-11-17,85106,Szczecin Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Sportowy
3358,2024-11-17,5320,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Książka
3359,2024-11-17,55,Berlin Hbf - Kraków Gł.,Kraków Główny,Saszetka / Nerka
3360,2024-11-17,3602,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Walizka / Plecak
3361,2024-11-17,81170,Świnoujście - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
3362,2024-11-17,72100,Zielona Góra Gł. - Lublin Gł.,Lublin Główny,Ubranie
3363,2024-11-17,81170,Świnoujście - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Elektroniczny
3364,2024-11-17,1604,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Sprzęt Turystyczny
3365,2024-11-17,5104,Gdynia Gł. - Warszawa Zach.,Warszawa Zachodnia,Ubranie
3366,2024-11-17,6122,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
3367,2024-11-17,3106,Kraków Gł. - Warszawa Centr.,Warszawa Centralna,Sprzęt Elektroniczny
3368,2024-11-17,4500,Bielsko-Biała Gł. - Gdynia Gł.,Iława Główna,Kosztowności
3369,2024-11-17,5700,Gdynia Gł. - Poznań Gł.,Poznań Główny,Walizka / Plecak
3370,2024-11-17,6304,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Rzeczy Osobiste
3371,2024-11-17,,,Wrocław Główny,Sprzęt Elektroniczny
3372,2024-11-17,3520,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
3373,2024-11-17,21160,Lublin Gł. - Warszawa Zach.,Warszawa Zachodnia,Walizka / Plecak
3374,2024-11-17,16106,Białystok - Wrocław Gł.,Ostrów Wielkopolski,Sprzęt Elektroniczny
3375,2024-11-17,3602,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Telefon
3376,2024-11-17,38102,Kraków Gł. - Świnoujście,Gliwice,Walizka / Plecak
3377,2024-11-17,5300,Gdynia - Kraków,Kraków Główny,Sprzęt Elektroniczny
3378,2024-11-17,3550,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Sprzęt Sportowy
3379,2024-11-17,3151,Zakopane -Warszawa Wschodnia,Warszawa Olszynka Grochowska,Walizka / Plecak
3380,2024-11-17,83171,Kołobrzeg- Kraków Główny,Kraków Główny,Rzeczy Osobiste
3381,2024-11-17,7322,Poznań Główny- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3382,2024-11-17,84100,Słupsk-Katowice,Katowice,Reklamówka / Torba
3383,2024-11-17,81103,Szczecin Gł. - Suwałki,Warszawa Wschodnia,Walizka / Plecak
3384,2024-11-17,83170,Kołobrzeg- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3385,2024-11-17,5604,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Ubranie
3386,2024-11-17,61104,Wrocław Gł. - Białystok,Białystok,Sprzęt Elektroniczny
3387,2024-11-17,6500,Jelenia Góra - Gdynia Gł.,Żmigród,Reklamówka / Torba
3388,2024-11-17,5350,Gdynia - Kraków,Kraków Główny,Rzeczy Osobiste
3389,2024-11-17,73105,Zielona Góra-Przemyśl Gł,Przemyśl Główny,Sprzęt Elektroniczny
3390,2024-11-17,51128,Gdynia Gł. - Łódź Kaliska,Leszno,Telefon
3391,2024-11-17,16106,Białystok - Wrocław Gł.,Wrocław Główny,Rzeczy Osobiste
3392,2024-11-16,63100,Wrocław - Kraków,Kraków Główny,Sprzęt Elektroniczny
3393,2024-11-16,81114,Kołobrzeg - Łódź Fabryczna,Łódź Fabryczna,Reklamówka / Torba
3394,2024-11-16,4560,Wisła Uzdr. - Olsztyn Gł.,Ciechanów,Walizka / Plecak
3395,2024-11-16,33112,Zagórz - Kraków,Kraków Główny,Dokument/Y
3396,2024-11-16,61108,Wrocław -Warszawa Wschodnia,Warszawa Olszynka Grochowska,Kosztowności
3397,2024-11-16,1306,Warszawa Wsch. - Kraków Gł.,Kraków Główny,Sprzęt Elektroniczny
3398,2024-11-16,5304,Gdzynia-Kraków,Kraków Główny,Ubranie
3399,2024-11-16,3806,Kraków Gł. - Kołobrzeg,Poznań Główny,Sprzęt Elektroniczny
3400,2024-11-16,5320,Olsztyn - Kraków,Kraków Główny,Sprzęt Elektroniczny
3401,2024-11-16,1522,Łódź Fabryczna - Olsztyn Gł.,Olsztyn Główny,Ubranie
3402,2024-11-16,1302,Warszawa-Kraków,Kraków Główny,Sprzęt Elektroniczny
3403,2024-11-16,6520,Wrocław Gł. - Ełk,Warszawa Centralna,Portfel
3404,2024-11-16,5422,Olsztyn Gł. - Racibórz,Racibórz,Walizka / Plecak
3405,2024-11-16,,,Wrocław Główny,Sprzęt Elektroniczny
3406,2024-11-16,5334,Bydgoszcz - Kraków,Kraków Główny,Sprzęt Elektroniczny
3407,2024-11-16,8320,Szczecin Gł. - Kraków Gł.,Kraków Główny,Ubranie
3408,2024-11-16,16100,Warszawa Wsch. - Jelenia Góra,Jelenia Góra,Dokument/Y
3409,2024-11-16,5304,Gdyna-Kraków,Kraków Główny,Sprzęt Elektroniczny
3410,2024-11-16,81114,Kołobrzeg - Łódź Fabryczna,Łódź Widzew,Dokument/Y
3411,2024-11-16,3524,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Dokument/Y
3412,2024-11-16,81114,Kołobrzeg - Łódź Fabryczna,Łódź Fabryczna,Walizka / Plecak
3413,2024-11-16,2520,Lublin Gł. - Bydgoszcz Gł.,Bydgoszcz Główna,Artykuły Medyczne
3414,2024-11-16,5326,Olsztyn Główny - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
3415,2024-11-16,83100,Szczecinek - Rzeszów Główny,Lublin Główny,Ubranie
3416,2024-11-16,86104,Szczecin Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3417,2024-11-16,,,Bydgoszcz Główna,Dokument/Y
3418,2024-11-16,75104,Zielona Góra Gł. - Gdynia Gł.,Gniezno,Sprzęt Elektroniczny
3419,2024-11-16,4160,Wisła Uzdr. - Warszawa Wsch.,Skierniewice,Walizka / Plecak
3420,2024-11-16,5620,Ełk - Wrocław Gł.,Wrocław Główny,Saszetka / Nerka
3421,2024-11-16,37104,Przemyśl Gł. - Zielona Góra Gł.,Zielona Góra Główna,Walizka / Plecak
3422,2024-11-16,3806,Kraków Główny - Kołobrzeg,Kołobrzeg,Sprzęt Agd
3423,2024-11-16,84102,Słupsk - Bielsko-Biała Gł.,Stargard,Walizka / Plecak
3424,2024-11-16,43006,Wien Hbf - Kraków,Kraków Główny,Ubranie
3425,2024-11-16,47100,,Poznań Główny,Sprzęt Elektroniczny
3426,2024-11-15,4524,Bielsko-Biała Gł. - Olsztyn Gł.,Sosnowiec Główny,Sprzęt Elektroniczny
3427,2024-11-15,85110,Kostrzyn - Gdynia Gł.,Kostrzyn,Portfel
3428,2024-11-15,83172,Świnoujście - Przemyśl Gł.,Warszawa Olszynka Grochowska,Rzeczy Osobiste
3429,2024-11-15,38100,Rzeszów Główny - Szczecinek,Warszawa Wschodnia,Portfel
3430,2024-11-15,8306,Kołobrzeg - Kraków,Kraków Główny,Ubranie
3431,2024-11-15,115,Praha Hl. N. - Przemyśl Gł.,Przemyśl Główny,Telefon
3432,2024-11-15,83170,Kołobrzeg - Kraków,Kraków Główny,Telefon
3433,2024-11-15,8304,Szczecin Gł. - Przemyśl Gł.,Przemyśl Główny,Sprzęt Elektroniczny
3434,2024-11-15,108,Wien Hbf - Gdynia Gł.,Gdynia Główna,Ubranie
3435,2024-11-15,4526,Katowice - Gdynia Gł.,Kutno,Rzeczy Osobiste
3436,2024-11-15,3502,Kraków Gł. - Gdynia Gł.,Warszawa Wschodnia,Ubranie
3437,2024-11-15,3112,Kraków Gł. - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
3438,2024-11-15,75100,Zielona Góra Gł. - Olsztyn Gł.,Olsztyn Zachodni,Sprzęt Turystyczny
3439,2024-11-15,6124,Wrocław Gł. - Białystok,Wołomin,Walizka / Plecak
3440,2024-11-15,56102,,Wrocław Główny,Ubranie
3441,2024-11-15,2700,Lublin Gł. - Żary,Wrocław Główny,Ubranie
3442,2024-11-15,56102,,Wrocław Główny,Rzeczy Osobiste
3443,2024-11-15,112,Warszawa Wsch. - Praha-Vršovice,Tychy,Sprzęt Elektroniczny
3444,2024-11-15,16102,Warszawa Wsch. - Wrocław Gł.,Skierniewice,Reklamówka / Torba
3445,2024-11-15,1624,,Wrocław Główny,Ubranie
3446,2024-11-15,1312,Warszawa Centr. - Kraków Gł.,Warszawa Centralna,Obuwie
3447,2024-11-15,3600,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
3448,2024-11-15,4520,Tychy -  Gdynia Gł.,.,Reklamówka / Torba
3449,2024-11-15,83102,Świnoujście - Kraków,Kraków Główny,Saszetka / Nerka
3450,2024-11-15,3120,Chabówka - Warszawa Wsch.,Warszawa Centralna,Parasol
3451,2024-11-15,5328,Olsztyn - Kraków,Kraków Główny,Portfel
3452,2024-11-15,16104,Białystok - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
3453,2024-11-15,3513,Kraków Gł. - Gdynia Gł.,Kościan,Walizka / Plecak
3454,2024-11-15,81103,Szczecin Gł. - Suwałki,Warszawa Centralna,Saszetka / Nerka
3455,2024-11-15,59,Berlin Hbf - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
3456,2024-11-15,17102,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Sprzęt Elektroniczny
3457,2024-11-15,83102,Świnoujście-Kraków,Kraków Główny,Artykuły Medyczne
3458,2024-11-15,1200,Łódź Fabryczna - Lublin Gł.,Otwock,Telefon
3459,2024-11-15,16106,Białystok - Wrocław Gł.,Twardogóra Syc.,Sprzęt Elektroniczny
3460,2024-11-15,5130,Bydgoszcz Gł. - Warszawa Zach.,Solec Kujawski,Reklamówka / Torba
3461,2024-11-15,61101,Wroclaw-Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
3462,2024-11-15,54,Kraków Gł. - Berlin Hbf,Kraków Główny,Walizka / Plecak
3463,2024-11-15,3720,Kraków - Poznań,Poznań Główny,Rzeczy Osobiste
3464,2024-11-15,1602,Warszawa Wsch. - Jelenia Góra,Jelenia Góra,Reklamówka / Torba
3465,2024-11-15,56102,Olsztyn Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
3466,2024-11-15,4526,Katowice - Gdynia Gł.,Łęczyca,Reklamówka / Torba
3467,2024-11-14,1322,Warszawa Wschodnia -Kraków Główny,Kraków Główny,Książka
3468,2024-11-14,83100,Szczecinek - Rzeszów Główny,Aleksandrów Kujawski,Reklamówka / Torba
3469,2024-11-14,6504,Wrocław Gł. - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
3470,2024-11-14,16106,,Wrocław Główny,Książka
3471,2024-11-14,6500,Jelenia Góra - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
3472,2024-11-14,,,Łódź Fabryczna,Sprzęt Elektroniczny
3473,2024-11-14,72100,Zielona Góra- Lublin,Lublin,Walizka / Plecak
3474,2024-11-14,5220,Bydgoszcz-Lublin,Lublin,Artykuły Medyczne
3475,2024-11-14,4504,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
3476,2024-11-14,5322,Olsztyn - Kraków,Kraków Główny,Ubranie
3477,2024-11-14,5320,Olsztyn - Kraków,Kraków Główny,Ubranie
3478,2024-11-14,16108,,Wrocław Główny,Ubranie
3479,2024-11-14,60105,Wrocław Gł. - Jelenia Góra,Jelenia Góra,Książka
3480,2024-11-14,5304,Gdynia Główna -Kraków Główny,Kraków Główny,Ubranie
3481,2024-11-14,3600,,Wrocław Główny,Ubranie
3482,2024-11-14,5350,Gdynia Główna -Kraków Główny,Kraków Główny,Ubranie
3483,2024-11-14,38100,Rzeszów Główny - Szczecinek,Aleksandrów Kujawski,Reklamówka / Torba
3484,2024-11-14,5604,,Wrocław Główny,Reklamówka / Torba
3485,2024-11-14,82104,Świnoujście - Hrubieszów Miasto,Słupca,Sprzęt Elektroniczny
